name,score,coordinates
北京,3190.8969598649,"116.40799713135,39.903999328613"
南京,2253.985704170737,"118.79699707031,32.060298919678"
厦门,1838.530612537676,"118.11161853752,24.681933109968"
上海,1792.8859364088873,"121.47399902344,31.230400085449"
婺源,1732.9291667468694,"117.86199951172,29.247999191284"
黄山,1590.505842199553,"118.33699798584,29.714700698853"
西安,1384.5041294504535,"108.94000244141,34.341598510742"
青岛,1303.9126131756227,"120.38300323486,36.067100524902"
杭州,1269.7204562296788,"120.1549987793,30.274099349976"
洛阳,1267.423077031935,"112.45400238037,34.618499755859"
重庆,1244.3143939987144,"106.55200195312,29.562999725342"
苏州,1229.1292163930314,"120.58499908447,31.298900604248"
江南,1180.609902215185,"120.322265625,30.031055450439"
中山,1109.0729876463747,"113.3929977417,22.516700744629"
武汉,1068.4970355070534,"114.30500030518,30.593099594116"
香港,982.1080193869534,"114.177775383,22.30180265445"
成都,973.2051953701621,"103.93335223774,30.653610388001"
日本,944.2428732275093,"138.252924,36.204824"
泰山,741.0100031615615,"117.10570525879,36.256680265997"
天津,737.5782372081152,"117.20099639893,39.084201812744"
扬州,692.792220008406,"119.47146862628,32.738648235116"
广州,653.6824355738228,"113.53604589534,23.354201314018"
济南,634.0916849142401,"117.12000274658,36.651000976562"
牡丹,630.2130080883194,"120.78099822998,22.152000427246"
泰国,606.8828590481313,"100.79406738281,15.538375926292"
华山,590.2947151235977,"110.06117248535,34.479190757772"
老街,575.312445057443,"104.00399780273,22.445899963379"
鼓浪屿,527.0820428898847,"118.06455993652,24.441415786743"
东北,499.6657707284904,"124.72579956055,41.318981170654"
无锡,487.23057370207823,"120.31099700928,31.490600585938"
狮子,484.066911048263,"120.73500061035,22.247200012207"
深圳,477.1949192745506,"114.135194529,22.654700919151"
山西,441.86707381910963,"112.56199645996,37.873500823975"
天门,438.8357575735298,"113.16699981689,30.663400650024"
龙门,430.43160763601685,"114.25499725342,23.727699279785"
西塘,430.1569084973805,"120.90331268311,30.942293167114"
西北,398.7859892218251,"102.41455078125,36.703659057617"
桃源,394.7427421917614,"111.48899841309,28.902500152588"
云南,390.4225523765358,"102.70999908447,25.045299530029"
湖南,383.1931712953787,"112.98400115967,28.112400054932"
成功,380.877334515385,"121.35900115967,23.135000228882"
太原,379.3294320378988,"112.54900360107,37.870601654053"
山东,377.1998874462453,"117.01999664307,36.668598175049"
