name,score,coordinates
鼓浪屿,259.44106085495844,"118.067513,24.44232"
陕西历史博物馆,199.44520110648514,"108.96416,34.220806"
华山,181.58803532459726,"110.082567,34.525279"
拙政园,178.77823221067143,"120.62866809964,31.323047699409"
鼓楼,167.0371988793796,"108.943816,34.260508"
虎丘,162.84747172917162,"120.58043523314,31.335792826945"
瘦西湖,159.81239049588058,"119.421629,32.408147"
苏州博物馆,153.1481406785892,"120.62866809964,31.323047699409"
龙门石窟,151.22832377422566,"112.476413,34.559667"
解放碑,146.5118169583099,"106.578785,29.562102"
黄鹤楼,136.3384896241551,"114.306334,30.542013"
厦门大学,135.52178300084634,"118.10454,24.435702"
晓起,130.7596003707958,"118.030227,29.391604"
古德寺,127.6158392132279,"114.310797,30.607677"
中山路,123.92323211106623,"118.068486,24.446922"
秦始皇兵马俑博物馆,121.25287021621193,"109.278492,34.384115"
狮子林,118.88453683600376,"120.627639,31.322984"
栈桥,113.50845637514938,"120.323718,36.053062"
田子坊,109.33217898396364,"121.467014,31.21658"
江岭,109.3177731209193,"118.033114,29.453715"
故宫,106.27396413697659,"116.396776,39.925835"
洪崖洞,105.49469610875609,"106.577232,29.557563"
天安门广场,105.00283983047753,"116.401391,39.905397"
大唐芙蓉园,102.6599512240397,"108.964305,34.216038"
大明寺,99.4645768376453,"119.416232,32.408099"
杜甫草堂,97.73557338802955,"104.033938,30.660684"
北海公园,94.9390573419758,"116.396776,39.925835"
平江路,89.77153433243986,"120.640522,31.304881"
西安城墙,86.78291469414208,"108.9416536,34.2631538"
武汉大学,86.74703177747568,"114.369896,30.534488"
钟楼,86.4351399727762,"108.943816,34.260508"
南普陀寺,84.62385351787655,"118.102528,24.436331"
寒山寺,84.34742781298662,"120.56891079889,31.310088919069"
湖南大学,84.10635231204616,"112.940822,28.180393"
西湖,83.01059438171792,"120.145395,30.238679"
留园,82.84909931880918,"120.590314,31.325993"
陕西历史博物馆,81.80455107578112,"108.940664,34.237299"
青龙寺,75.29981367302042,"108.984584,34.24603"
秦始皇陵,71.54377634260945,"109.262917,34.382032"
万峰林,71.41157249819409,"104.92429538249,25.003492231702"
景山公园,71.06014080606805,"116.38877,39.928249"
菽庄花园,69.71639187344812,"118.069788,24.438326"
汪口,68.03666756747134,"117.998182,29.348481"
泰山,67.44149696758794,"117.116198,36.245174"
华清宫,65.96271164552546,"109.21318425397,34.362239296115"
