景区所在省份,知名景区数量,名 称,评定年份,经纬度
北京市,7,东城区故宫博物院,2007年,"116.397026,39.918058"
北京市,7,东城区天坛公园,2007年,"116.410886,39.881949"
北京市,7,海淀区颐和园,2007年,"116.272876,39.99243"
北京市,7,八达岭慕田峪长城旅游区,2007年,"116.544079,40.417555"
北京市,7,昌平区明十三陵景区(神路-定陵-长陵-昭陵),2011年,"116.225404,40.258186"
北京市,7,西城区恭王府景区,2012年,"116.38631,39.937209"
北京市,7,朝阳区北京奥林匹克公园(鸟巢-水立方-中国科技馆-国家奥林匹克森林公园),2012年,"116.399466,39.989743"
天津市,2,南开区天津古文化街旅游区（津门故里）,2007年,"117.191793,39.143963"
天津市,2,蓟州区盘山风景名胜区,2007年,"117.279729,40.093249"
河北省,8,承德市双桥区承德避暑山庄及周围寺庙景区(普陀宗乘-须弥福寺-普宁寺-普佑寺),2007年,"117.94574,40.99973"
河北省,8,保定市安新县白洋淀景区(文化苑-大观园-鸳鸯岛-元妃荷园-嘎子印象-渔人乐园),2007年,"115.973101,38.939547"
河北省,8,保定市涞水县野三坡景区(百里峡-白草畔-鱼谷洞-龙门天关),2011年,"115.38558,39.668395"
河北省,8,石家庄平山县西柏坡景区,2011年,"113.958941,38.357445"
河北省,8,唐山市遵化市清东陵景区,2015年,"117.665421,40.189822"
河北省,8,邯郸市涉县娲皇宫景区,2015年,"113.6091,36.63363"
河北省,8,邯郸市永年县广府古城景区,2017年,"114.73033,36.701069"
河北省,8,保定市涞源县白石山景区,2017年,"114.694859,39.215227"
山西省,7,大同市南郊区云冈石窟景区,2007年,"113.144821,40.109817"
山西省,7,忻州市五台县五台山风景名胜区,2007年,"113.590726,38.968639"
山西省,7,晋城市阳城县皇城相府生态文化旅游区,2011年,"112.582991,35.51377"
山西省,7,晋中市介休市绵山风景名胜区,2013年,"112.027271,36.889614"
山西省,7,晋中市祁县乔家大院文化园区,2014年,"112.437385,37.406475"
山西省,7,晋中市平遥县平遥古城景区,2015年,"112.183466,37.204233"
山西省,7,忻州市代县雁门关景区,2017年,"112.888197,39.182315"
内蒙古自治区,4,鄂尔多斯市达拉特旗响沙湾旅游景区,2011年,"109.956058,40.244043"
内蒙古自治区,4,鄂尔多斯市伊金霍洛旗成吉思汗陵旅游区,2011年,"109.808445,39.362477"
内蒙古自治区,4,呼伦贝尔市满洲里市中俄边境旅游区,2016年,"117.394542,49.613482"
内蒙古自治区,4,兴安盟阿尔山·柴河旅游景区,2017年,"120.421996,47.284044"
辽宁省,5,沈阳市浑南区沈阳植物园,2007年,"123.649272,41.862464"
辽宁省,5,大连市中山区老虎滩海洋公园—老虎滩极地馆,2007年,"121.6754,38.871662"
辽宁省,5,大连市金州区金石滩景区(地质公园-发现王国-蜡像馆-文化博览广场),2011年,"122.056085,39.067339"
辽宁省,5,本溪市本溪满族自治县本溪水洞景区,2015年,"124.072367,41.278557"
辽宁省,5,鞍山市千山区千山景区,2017年,"123.129956,41.009048"
吉林省,6,长白山景区,2007年,"128.074793,42.023555"
吉林省,6,长春市宽城区伪满皇宫博物馆,2007年,"125.348624,43.905763"
吉林省,6,长春市南关区净月潭景区,2011年,"125.45386,43.799805"
吉林省,6,长春市南关区长影世纪城景区,2015年,"125.446876,43.772987"
吉林省,6,延边朝鲜族自治州敦化市六鼎山文化旅游区,2015年,"128.251345,43.306729"
吉林省,6,长春市南关区世界雕塑公园景区,2017年,"125.332866,43.82294"
黑龙江省,5,哈尔滨市松北区太阳岛景区,2007年,"126.59788,45.791584"
黑龙江省,5,黑河市五大连池市五大连池景区,2011年,"126.26419,48.695807"
黑龙江省,5,牡丹江市宁安市镜泊湖景区,2011年,"128.953689,44.06302"
黑龙江省,5,伊春市汤旺河区林海奇石景区,2013年,"129.459877,48.458994"
黑龙江省,5,大兴安岭地区漠河县北极村旅游景区,2015年,"122.362684,53.478411"
上海市,3,浦东新区东方明珠广播电视塔,2007年,"121.544098,31.281193"
上海市,3,浦东新区上海野生动物园,2007年,"121.721734,31.055223"
上海市,3,浦东新区上海科技馆,2010年,"121.542492,31.219134"
江苏省,23,苏州市姑苏区苏州园林（拙政园－留园－虎丘）,2007年,"120.629029,31.32416"
江苏省,23,苏州市昆山市周庄古镇景区,2007年,"120.850993,31.11535"
江苏省,23,南京市玄武区钟山—中山陵风景名胜区(明孝陵-音乐台-灵谷寺-梅花山-紫金山天文台),2007年,"118.853336,32.059379"
江苏省,23,无锡市滨湖区中央电视台无锡影视基地三国水浒城景区,2007年,"120.238415,31.484502"
江苏省,23,无锡市滨湖区灵山大佛景区,2009年,"120.100962,31.426936"
江苏省,23,苏州市吴江区同里古镇景区,2010年,"120.722972,31.154535"
江苏省,23,南京市秦淮区夫子庙－秦淮河风光带(江南贡院-白鹭洲-中华门-瞻园-王谢故居),2010年,"118.789494,32.020105"
江苏省,23,常州市新北区环球恐龙城景区(中华恐龙园-恐龙谷温泉-恐龙城大剧院),2010年,"120.00938,31.817987"
江苏省,23,扬州市邗江区瘦西湖风景区,2010年,"119.418054,32.411468"
江苏省,23,南通市崇川区濠河风景区,2012年,"120.865869,32.015434"
江苏省,23,泰州市姜堰区溱湖国家湿地公园,2012年,"120.093955,32.623122"
江苏省,23,苏州市吴中区金鸡湖国家商务旅游示范区,2012年,"120.696981,31.310736"
江苏省,23,镇江市三山风景名胜区（金山－北固山－焦山）,2012年,"119.418241,32.232699"
江苏省,23,无锡市滨湖区鼋头渚旅游风景区,2012年,"120.226581,31.523293"
江苏省,23,苏州市吴中区太湖旅游区（旺山－穹窿山－东山）,2013年,"120.444477,31.218901"
江苏省,23,苏州市常熟市沙家浜－虞山尚湖旅游区,2013年,"120.709935,31.622313"
江苏省,23,常州市溧阳市天目湖景区(天目湖-南山竹海-御水温泉),2013年,"119.434982,31.310022"
江苏省,23,镇江市句容市茅山景区,2014年,"119.314299,31.781494"
江苏省,23,淮安市淮安区周恩来故里景区（周恩来纪念馆-周恩来故居-附马巷历史街区-河下古镇）,2015年,"119.149972,33.515879"
江苏省,23,盐城市大丰区中华麋鹿园景区,2015年,"120.815417,32.983929"
江苏省,23,徐州市泉山区云龙湖景区,2016年,"117.153902,34.2376"
江苏省,23,连云港市海州区花果山景区,2016年,"119.287588,34.650765"
江苏省,23,常州市武进区春秋淹城旅游区,2017年,"119.925348,31.701647"
浙江省,16,杭州市西湖区西湖风景区,2007年,"120.108478,30.220671"
浙江省,16,温州市乐清市雁荡山风景区,2007年,"121.114849,28.378057"
浙江省,16,舟山市普陀区普陀山风景区,2007年,"122.483392,29.929476"
浙江省,16,杭州市淳安县千岛湖风景区,2010年,"119.054418,29.560314"
浙江省,16,嘉兴市桐乡市乌镇古镇旅游区,2010年,"120.483935,30.749724"
浙江省,16,宁波市奉化区溪口－滕头旅游景区,2010年,"121.26383,29.686675"
浙江省,16,金华市东阳市横店影视城景区,2010年,"120.316838,29.137879"
浙江省,16,嘉兴市南湖区南湖旅游区,2011年,"120.758838,30.75347"
浙江省,16,杭州市西湖区西溪湿地旅游区,2012年,"120.064926,30.266938"
浙江省,16,绍兴市越城区鲁迅故里－沈园景区,2012年,"120.589758,29.991449"
浙江省,16,衢州市开化县根宫佛国文化旅游区,2013年,"118.392977,29.133668"
浙江省,16,湖州市南浔区南浔古镇景区,2015年,"120.429523,30.882072"
浙江省,16,台州市天台县天台山景区,2015年,"121.096874,29.273271"
浙江省,16,台州市仙居县神仙居景区,2015年,"120.59312,28.677111"
浙江省,16,嘉兴市嘉善县西塘古镇旅游景区,2017年,"120.892785,30.943723"
浙江省,16,衢州市江山市江郎山·廿八都旅游区,2017年,"118.566229,28.508746"
安徽省,11,黄山市黄山区黄山风景区,2007年,"118.160062,30.144661"
安徽省,11,池州市青阳县九华山风景区,2007年,"117.823956,30.478804"
安徽省,11,安庆市潜山县天柱山风景区,2011年,"116.458198,30.738182"
安徽省,11,黄山市黟县皖南古村落－西递宏村,2011年,"117.99599,29.90334"
安徽省,11,六安市金寨县天堂寨旅游景区,2012年,"115.778454,31.135476"
安徽省,11,宣城市绩溪县龙川景区,2012年,"118.670207,30.076865"
安徽省,11,阜阳市颍上县八里河风景区,2013年,"116.306785,32.558398"
安徽省,11,黄山市古徽州文化旅游区（徽州古城－牌坊群·鲍家花园－唐模－潜口民宅－呈坎）,2014年,"118.302237,29.857467"
安徽省,11,合肥市肥西县三河古镇景区,2015年,"117.253362,31.513019"
安徽省,11,芜湖市鸠江区方特旅游区,2016年,"118.463177,31.358881"
安徽省,11,六安市舒城县万佛湖风景区,2016年,"116.750683,31.291479"
福建省,9,厦门市思明区鼓浪屿风景名胜区,2007年,"118.067042,24.444673"
福建省,9,南平市武夷山市武夷山风景名胜区,2007年,"117.959688,27.65645"
福建省,9,三明市泰宁县泰宁风景旅游区,2011年,"117.101925,26.863692"
福建省,9,福建土楼（永定·南靖）旅游景区,2011年,"117.009148,24.660558"
福建省,9,宁德市屏南县（白水洋·鸳鸯溪）旅游景区,2012年,"119.076048,27.09354"
福建省,9,泉州市丰泽区清源山风景名胜区,2012年,"118.596987,24.94119"
福建省,9,宁德市福鼎市太姥山旅游区,2013年,"120.191264,27.102164"
福建省,9,福州市鼓楼区三坊七巷景区,2015年,"119.296784,26.082408"
福建省,9,龙岩市上杭县古田旅游区,2015年,"116.82081,25.214684"
江西省,10,九江市庐山市庐山风景名胜区,2007年,"115.958248,29.560053"
